,Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Postal code,Rental status,Slots,Station type,Status,Subscription status,Date,Time
1662,3 avenue L̩o Lagrange,3,3,1,1,0,nonexistent,Montreuil,montreuil-leolagrange-3,STATION,93100,operational,1,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 22:06:00
1663,10 Rue Sadi Carnot,6,6,0,0,0,nonexistent,Asni̬res-sur-Seine,asnieressurseine-sadicarnot-10,STATION,92600,operational,0,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 01:46:00
1664,28 rue Championnet,6,6,0,0,0,operational,Paris,paris-championnet-28,STATION,75018,operational,0,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 04:09:00
1665,120 cours de Vincennes,4,4,0,0,0,nonexistent,Paris,paris-vincennes-120,STATION,75012,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 06:53:00
1666,170 boulevard Pereire,4,4,0,1,0,operational,Paris,paris-pereire-170,STATION,75017,operational,1,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 04:25:00
1667,50 rue Emile Zola,0,0,0,0,0,nonexistent,Bezons,bezons-emilezola-50,STATION,95870,operational,7,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 14:21:00
1668,169 avenue Gabriel P̩ri,0,0,0,0,0,nonexistent,Gennevilliers,gennevilliers-gabrielperi-169,SPACE,92230,broken,0,full_station,closed,broken,2018-04-08 00:00:00,2020-05-29 07:05:00
1669,169 avenue de Flandre,0,0,0,0,0,operational,Paris,paris-flandre-169,SPACE,75019,operational,1,full_station,ok,broken,2018-04-09 00:00:00,2020-05-29 08:59:00
1670,143 boulevard Vincent Auriol,0,0,0,0,0,operational,Paris,paris-vincentauriol-143,SPACE,75013,operational,1,full_station,ok,operational,2018-04-01 00:00:00,2020-05-29 13:13:00
1671,238 Rue du Faubourg Saint-Antoine,3,3,0,0,1,operational,Paris,paris-saintantoine-238,STATION,75012,operational,2,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 03:33:00
1672,120 boulevard du Montparnasse,0,0,0,0,0,nonexistent,Paris,paris-montparnasseraspail-parking,PARKING,75014,broken,0,station,closed,nonexistent,2018-04-02 00:00:00,2020-05-29 03:52:00
1673,2 place Joffre,0,0,0,0,0,nonexistent,Paris,paris-joffreecolemilitaire-parking,PARKING,75007,operational,6,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 03:48:00
1674,12 Avenue de Messine,0,0,0,1,1,operational,Paris,paris-messine-12,STATION,75008,operational,4,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 16:33:00
1675,2 avenue de la Porte de Charenton,6,6,0,0,0,operational,Paris,paris-portedecharenton-2,STATION,75012,operational,0,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 17:34:00
1676,1 rue des Nonnains d'Hy̬res,0,0,0,0,1,operational,Paris,paris-nonnainsdhyeres-1,STATION,75004,operational,5,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 15:28:00
